word,count
the,101
of,99
to,59
and,41
a,37
be,33
will,27
is,23
that,23
in,20
as,20
freedom,19
we,18
our,17
have,17
from,16
I,15
this,15
Negro,13
not,13
with,12
And,12
We,11
come,10
every,10
day,10
one,9
Let,9
dream,9
ring,9
go,8
for,8
their,8
by,8
are,8
back,8
must,8
able,8
you,7
all,7
nation,7
long,6
white,6
cannot,6
satisfied,6
years,5
great,5
This,5
on,5
which,5
America,5
has,5
there,5
time,5
shall,5
"together,",5
when,5
today,4
down,4
who,4
It,4
But,4
hundred,4
"later,",4
still,4
an,4
black,4
us,4
Now,4
until,4
my,4
into,4
up,4
can,4
at,4
let,4
join,3
stand,3
"today,",3
One,3
American,3
his,3
so,3
we've,3
here,3
words,3
they,3
"men,",3
men,3
justice,3
justice.,3
make,3
rise,3
valley,3
brotherhood.,3
God's,3
sweltering,3
never,3
children,3
New,3
out,3
where,3
--,3
its,3
state,3
little,3
made,3
With,3
"faith,",3
last!,3
am,2
history,2
nation.,2
came,2
hope,2
slaves,2
been,2
segregation,2
In,2
cash,2
promissory,2
note,2
was,2
would,2
color,2
"check,",2
check,2
refuse,2
believe,2
urgency,2
off,2
racial,2
but,2
those,2
content,2
if,2
The,2
say,2
"people,",2
struggle,2
dignity,2
allow,2
creative,2
physical,2
new,2
realize,2
police,2
brutality.,2
like,2
mighty,2
some,2
jail,2
quest,2
work,2
faith,2
"Mississippi,",2
"Alabama,",2
South,2
"Georgia,",2
knowing,2
even,2
dream.,2
live,2
sons,2
former,2
heat,2
today!,2
boys,2
girls,2
hands,2
hill,2
mountain,2
places,2
it,2
free,2
sing,2
land,2
From,2
"mountainside,",2
Mountain,2
Free,2
happy,1
what,1
greatest,1
demonstration,1
Five,1
score,1
"ago,",1
"American,",1
whose,1
symbolic,1
shadow,1
signed,1
Emancipation,1
Proclamation.,1
momentous,1
decree,1
beacon,1
light,1
millions,1
had,1
seared,1
flames,1
withering,1
injustice.,1
joyous,1
daybreak,1
end,1
night,1
captivity.,1
free.,1
life,1
sadly,1
crippled,1
manacles,1
chains,1
discrimination.,1
lives,1
lonely,1
island,1
poverty,1
midst,1
vast,1
ocean,1
material,1
prosperity.,1
languished,1
corners,1
society,1
finds,1
himself,1
exile,1
own,1
land.,1
dramatize,1
shameful,1
condition.,1
sense,1
nation's,1
capital,1
check.,1
When,1
architects,1
republic,1
wrote,1
magnificent,1
Constitution,1
Declaration,1
"Independence,",1
were,1
signing,1
fall,1
heir.,1
promise,1
"yes,",1
well,1
guaranteed,1
"""unalienable",1
"Rights""",1
"""Life,",1
Liberty,1
pursuit,1
"Happiness.""",1
obvious,1
defaulted,1
"note,",1
insofar,1
her,1
citizens,1
concerned.,1
Instead,1
honoring,1
sacred,1
"obligation,",1
given,1
people,1
bad,1
marked,1
"""insufficient",1
"funds.""",1
bank,1
bankrupt.,1
insufficient,1
funds,1
vaults,1
opportunity,1
"so,",1
give,1
upon,1
demand,1
riches,1
security,1
also,1
hallowed,1
spot,1
remind,1
fierce,1
Now.,1
no,1
engage,1
luxury,1
cooling,1
or,1
take,1
tranquilizing,1
drug,1
gradualism.,1
real,1
promises,1
democracy.,1
dark,1
desolate,1
sunlit,1
path,1
lift,1
quicksands,1
injustice,1
solid,1
rock,1
reality,1
children.,1
fatal,1
overlook,1
moment.,1
summer,1
Negro's,1
legitimate,1
discontent,1
pass,1
invigorating,1
autumn,1
equality.,1
Nineteen,1
sixty-three,1
"end,",1
beginning.,1
needed,1
blow,1
steam,1
now,1
rude,1
awakening,1
returns,1
business,1
usual.,1
neither,1
rest,1
nor,1
tranquility,1
granted,1
citizenship,1
rights.,1
whirlwinds,1
revolt,1
continue,1
shake,1
foundations,1
bright,1
emerges.,1
something,1
warm,1
threshold,1
leads,1
palace,1
justice:,1
process,1
gaining,1
rightful,1
"place,",1
guilty,1
wrongful,1
deeds.,1
seek,1
satisfy,1
thirst,1
drinking,1
cup,1
bitterness,1
hatred.,1
forever,1
conduct,1
high,1
plane,1
discipline.,1
protest,1
degenerate,1
violence.,1
Again,1
"again,",1
majestic,1
heights,1
meeting,1
force,1
soul,1
force.,1
marvelous,1
militancy,1
engulfed,1
community,1
lead,1
distrust,1
many,1
"brothers,",1
evidenced,1
presence,1
destiny,1
tied,1
destiny.,1
inextricably,1
bound,1
freedom.,1
walk,1
alone.,1
"walk,",1
pledge,1
always,1
march,1
ahead.,1
turn,1
back.,1
There,1
asking,1
devotees,1
civil,1
"rights,",1
"""When",1
"satisfied?""",1
victim,1
unspeakable,1
horrors,1
"bodies,",1
heavy,1
fatigue,1
"travel,",1
gain,1
lodging,1
motels,1
highways,1
hotels,1
cities.,1
negro's,1
basic,1
mobility,1
smaller,1
ghetto,1
larger,1
one.,1
stripped,1
self-hood,1
robbed,1
signs,1
stating:,1
"""For",1
Whites,1
"Only.""",1
Mississippi,1
vote,1
York,1
believes,1
he,1
nothing,1
vote.,1
"No,",1
"no,",1
"satisfied,",1
"""justice",1
rolls,1
"waters,",1
righteousness,1
"stream.""",1
unmindful,1
trials,1
tribulations.,1
Some,1
fresh,1
narrow,1
cells.,1
areas,1
your,1
left,1
battered,1
storms,1
persecution,1
staggered,1
winds,1
You,1
veterans,1
suffering.,1
Continue,1
unearned,1
suffering,1
redemptive.,1
Go,1
"Carolina,",1
"Louisiana,",1
slums,1
ghettos,1
northern,1
"cities,",1
somehow,1
situation,1
changed.,1
wallow,1
"despair,",1
friends.,1
though,1
face,1
difficulties,1
"tomorrow,",1
deeply,1
rooted,1
true,1
meaning,1
creed:,1
"""We",1
hold,1
these,1
truths,1
"self-evident,",1
created,1
"equal.""",1
red,1
hills,1
slave,1
owners,1
sit,1
together,1
table,1
"injustice,",1
"oppression,",1
transformed,1
oasis,1
four,1
judged,1
skin,1
character.,1
"day,",1
vicious,1
"racists,",1
governor,1
having,1
lips,1
dripping,1
"""interposition""",1
"""nullification""",1
right,1
Alabama,1
sisters,1
brothers.,1
"exalted,",1
"low,",1
rough,1
"plain,",1
crooked,1
straight;,1
"""and",1
glory,1
Lord,1
revealed,1
flesh,1
see,1
"together.""",1
"hope,",1
with.,1
hew,1
despair,1
stone,1
hope.,1
transform,1
jangling,1
discords,1
beautiful,1
symphony,1
pray,1
day.,1
meaning:,1
My,1
country,1
'tis,1
"thee,",1
sweet,1
"liberty,",1
thee,1
sing.,1
Land,1
fathers,1
"died,",1
Pilgrim's,1
"pride,",1
ring!,1
"nation,",1
become,1
true.,1
prodigious,1
hilltops,1
Hampshire.,1
mountains,1
York.,1
heightening,1
Alleghenies,1
Pennsylvania.,1
snow-capped,1
Rockies,1
Colorado.,1
curvaceous,1
slopes,1
California.,1
only,1
that:,1
Stone,1
Georgia.,1
Lookout,1
Tennessee.,1
molehill,1
Mississippi.,1
ring.,1
"happens,",1
"ring,",1
village,1
"hamlet,",1
"city,",1
speed,1
"children,",1
Jews,1
"Gentiles,",1
Protestants,1
"Catholics,",1
old,1
spiritual:,1
Thank,1
God,1
"Almighty,",1
